date,campaign_name,ad_set,platform,objective,impressions,reach,clicks,spend,conversions,revenue
2026-06-05,Yaz Kampanyası - Awareness,35-44 Genel,Meta,Awareness,47417,16139,685,2453.33,8,2922.94
2026-06-05,Yaz Kampanyası - Awareness,18-24 Kadın,Google,Awareness,52845,31639,653,1266.56,7,2279.13
2026-06-05,Yaz Kampanyası - Awareness,25-34 Kadın,Google,Awareness,44638,31625,623,1138.46,13,4891.65
2026-06-05,Yaz Kampanyası - Awareness,25-34 Erkek,Google,Awareness,41671,24270,222,1291.43,1,331.86
2026-06-05,Yaz Kampanyası - Awareness,35-44 Genel,Google,Awareness,42646,25056,362,1046.22,4,1229.68
2026-06-05,Yaz Kampanyası - Awareness,18-24 Kadın,TikTok,Awareness,95164,48570,2456,1918.19,7,2524.57
2026-06-05,Yaz Kampanyası - Awareness,25-34 Kadın,TikTok,Awareness,95316,48172,2960,1513.0,24,8896.36
2026-06-05,Yaz Kampanyası - Awareness,25-34 Erkek,TikTok,Awareness,65626,30097,969,1708.36,3,1135.45
2026-06-05,Yaz Kampanyası - Awareness,35-44 Genel,TikTok,Awareness,96462,49614,1897,2080.47,11,3793.2
2026-06-06,Yaz Kampanyası - Awareness,18-24 Kadın,Meta,Awareness,67511,25007,1195,2408.55,9,3616.66
2026-06-06,Yaz Kampanyası - Awareness,25-34 Kadın,Meta,Awareness,57187,23965,1031,2604.66,13,5154.68
2026-06-06,Yaz Kampanyası - Awareness,25-34 Erkek,Meta,Awareness,59353,21055,630,3687.68,3,839.63
2026-06-06,Yaz Kampanyası - Awareness,35-44 Genel,Meta,Awareness,67746,27305,915,3378.84,6,1837.15
2026-06-06,Yaz Kampanyası - Awareness,18-24 Kadın,Google,Awareness,40598,27562,476,1055.33,5,1502.77
2026-06-06,Yaz Kampanyası - Awareness,25-34 Kadın,Google,Awareness,33165,20616,385,901.9,7,2483.87
2026-06-06,Yaz Kampanyası - Awareness,25-34 Erkek,Google,Awareness,42917,26222,324,1244.65,2,713.77
2026-06-06,Yaz Kampanyası - Awareness,35-44 Genel,Google,Awareness,45602,29669,467,1211.84,6,2274.2
2026-06-06,Yaz Kampanyası - Awareness,18-24 Kadın,TikTok,Awareness,90558,54761,1549,1319.08,7,2633.61
2026-06-06,Yaz Kampanyası - Awareness,25-34 Kadın,TikTok,Awareness,104959,54170,3052,2377.89,28,11126.51
2026-06-06,Yaz Kampanyası - Awareness,25-34 Erkek,TikTok,Awareness,94179,54098,1200,1925.65,4,1349.88
2026-06-06,Yaz Kampanyası - Awareness,35-44 Genel,TikTok,Awareness,107806,48409,1623,2352.86,9,3299.53
2026-06-07,Yaz Kampanyası - Awareness,18-24 Kadın,Meta,Awareness,67688,31868,1187,2537.36,9,2813.03
2026-06-07,Yaz Kampanyası - Awareness,25-34 Kadın,Meta,Awareness,57860,21340,983,2509.99,14,5547.12
2026-06-07,Yaz Kampanyası - Awareness,25-34 Erkek,Meta,Awareness,51606,23287,586,2514.72,4,1453.67
2026-06-07,Yaz Kampanyası - Awareness,35-44 Genel,Meta,Awareness,55916,20781,961,2978.06,10,3556.07
2026-06-07,Yaz Kampanyası - Awareness,18-24 Kadın,Google,Awareness,56745,38741,655,1397.98,7,2245.82
2026-06-07,Yaz Kampanyası - Awareness,25-34 Kadın,Google,Awareness,37132,29276,386,921.15,6,2506.82
2026-06-07,Yaz Kampanyası - Awareness,25-34 Erkek,Google,Awareness,44549,30807,328,1333.35,2,712.97
2026-06-07,Yaz Kampanyası - Awareness,35-44 Genel,Google,Awareness,44599,28853,491,1078.52,6,2645.51
2026-06-07,Yaz Kampanyası - Awareness,18-24 Kadın,TikTok,Awareness,122211,56258,2725,2456.87,16,5504.57
2026-06-07,Yaz Kampanyası - Awareness,25-34 Kadın,TikTok,Awareness,98509,49707,2148,2101.31,24,8707.89
2026-06-07,Yaz Kampanyası - Awareness,25-34 Erkek,TikTok,Awareness,89950,45286,1200,2360.77,3,1014.76
2026-06-07,Yaz Kampanyası - Awareness,35-44 Genel,TikTok,Awareness,74835,46310,1712,1712.22,10,2974.12
2026-06-08,Yaz Kampanyası - Awareness,18-24 Kadın,Meta,Awareness,38526,15669,808,1604.04,6,2197.67
2026-06-08,Yaz Kampanyası - Awareness,25-34 Kadın,Meta,Awareness,44372,17589,788,1847.58,12,4344.75
2026-06-08,Yaz Kampanyası - Awareness,25-34 Erkek,Meta,Awareness,50553,20880,562,2962.9,2,637.86
2026-06-08,Yaz Kampanyası - Awareness,35-44 Genel,Meta,Awareness,57318,22475,922,2415.86,12,4255.22
2026-06-08,Yaz Kampanyası - Awareness,18-24 Kadın,Google,Awareness,45054,24348,468,1008.1,4,1463.33
2026-06-08,Yaz Kampanyası - Awareness,25-34 Kadın,Google,Awareness,32403,19038,372,939.18,3,967.41
2026-06-08,Yaz Kampanyası - Awareness,25-34 Erkek,Google,Awareness,27278,18584,198,835.82,1,344.43
2026-06-08,Yaz Kampanyası - Awareness,35-44 Genel,Google,Awareness,36981,25705,388,1076.48,5,1847.39
2026-06-08,Yaz Kampanyası - Awareness,18-24 Kadın,TikTok,Awareness,107181,46872,2327,1973.9,11,3452.58
2026-06-08,Yaz Kampanyası - Awareness,25-34 Kadın,TikTok,Awareness,80387,46436,1988,1661.49,18,5817.71
2026-06-08,Yaz Kampanyası - Awareness,25-34 Erkek,TikTok,Awareness,89749,43984,1226,2013.34,6,2139.47
2026-06-08,Yaz Kampanyası - Awareness,35-44 Genel,TikTok,Awareness,70642,37434,1394,1350.01,10,2990.81
2026-06-09,Yaz Kampanyası - Awareness,18-24 Kadın,Meta,Awareness,69388,23726,1028,2869.21,4,1238.11
2026-06-09,Yaz Kampanyası - Awareness,25-34 Kadın,Meta,Awareness,52675,22692,1020,2654.22,10,3206.89
2026-06-09,Yaz Kampanyası - Awareness,25-34 Erkek,Meta,Awareness,48122,15940,385,2485.75,3,876.57
2026-06-09,Yaz Kampanyası - Awareness,35-44 Genel,Meta,Awareness,41805,16790,512,1993.41,5,1439.38
2026-06-09,Yaz Kampanyası - Awareness,18-24 Kadın,Google,Awareness,46402,30778,607,1074.2,5,1844.7
2026-06-09,Yaz Kampanyası - Awareness,25-34 Kadın,Google,Awareness,43552,26052,406,1193.28,5,1791.17
2026-06-09,Yaz Kampanyası - Awareness,25-34 Erkek,Google,Awareness,28356,16965,174,771.23,1,358.46
2026-06-09,Yaz Kampanyası - Awareness,35-44 Genel,Google,Awareness,33440,18251,296,915.84,4,1313.25
2026-06-09,Yaz Kampanyası - Awareness,18-24 Kadın,TikTok,Awareness,109351,60796,2257,2360.78,10,2655.53
2026-06-09,Yaz Kampanyası - Awareness,25-34 Kadın,TikTok,Awareness,112768,47294,2647,1818.53,23,7819.59
2026-06-09,Yaz Kampanyası - Awareness,25-34 Erkek,TikTok,Awareness,79153,46878,1204,1999.31,3,1123.42
2026-06-09,Yaz Kampanyası - Awareness,35-44 Genel,TikTok,Awareness,106560,55136,1922,2205.98,15,4341.4
2026-06-10,Yaz Kampanyası - Awareness,18-24 Kadın,Meta,Awareness,60979,24406,1199,2390.68,13,4047.8
2026-06-10,Yaz Kampanyası - Awareness,25-34 Kadın,Meta,Awareness,58447,21783,889,2498.32,14,4741.34
2026-06-10,Yaz Kampanyası - Awareness,25-34 Erkek,Meta,Awareness,37297,14370,316,1815.42,2,580.6
2026-06-10,Yaz Kampanyası - Awareness,35-44 Genel,Meta,Awareness,39822,14611,488,1305.74,5,1797.66
2026-06-10,Yaz Kampanyası - Awareness,18-24 Kadın,Google,Awareness,39956,28759,494,1021.39,8,2917.65
2026-06-10,Yaz Kampanyası - Awareness,25-34 Kadın,Google,Awareness,41756,26540,585,1153.52,12,3981.04
2026-06-10,Yaz Kampanyası - Awareness,25-34 Erkek,Google,Awareness,32413,21277,253,1162.81,1,335.13
2026-06-10,Yaz Kampanyası - Awareness,35-44 Genel,Google,Awareness,37460,24002,406,792.38,4,1290.46
2026-06-10,Yaz Kampanyası - Awareness,18-24 Kadın,TikTok,Awareness,74681,43497,1417,1390.4,10,3414.23
2026-06-10,Yaz Kampanyası - Awareness,25-34 Kadın,TikTok,Awareness,82810,43833,2396,1494.56,18,6651.89
2026-06-10,Yaz Kampanyası - Awareness,25-34 Erkek,TikTok,Awareness,78846,38974,1101,2025.08,3,1048.73
2026-06-10,Yaz Kampanyası - Awareness,35-44 Genel,TikTok,Awareness,83338,49933,1212,1870.11,8,2513.76
2026-06-11,Yaz Kampanyası - Awareness,18-24 Kadın,Meta,Awareness,59109,20429,598,2005.47,4,1604.57
2026-06-11,Yaz Kampanyası - Awareness,25-34 Kadın,Meta,Awareness,56451,20164,818,2105.51,12,4224.48
2026-06-11,Yaz Kampanyası - Awareness,25-34 Erkek,Meta,Awareness,49881,19551,509,2553.75,3,1134.74
2026-06-11,Yaz Kampanyası - Awareness,35-44 Genel,Meta,Awareness,39797,19743,608,1963.5,5,1424.53
2026-06-11,Yaz Kampanyası - Awareness,18-24 Kadın,Google,Awareness,44219,25283,617,1148.6,6,1912.44
2026-06-11,Yaz Kampanyası - Awareness,25-34 Kadın,Google,Awareness,39954,25741,423,1251.63,10,3897.62
2026-06-11,Yaz Kampanyası - Awareness,25-34 Erkek,Google,Awareness,30420,17514,233,991.11,2,744.48
2026-06-11,Yaz Kampanyası - Awareness,35-44 Genel,Google,Awareness,39305,23094,392,881.64,5,1652.67
2026-06-11,Yaz Kampanyası - Awareness,18-24 Kadın,TikTok,Awareness,87604,39469,2427,1890.72,15,5959.08
2026-06-11,Yaz Kampanyası - Awareness,25-34 Kadın,TikTok,Awareness,94636,48818,1977,1967.86,18,5479.33
2026-06-11,Yaz Kampanyası - Awareness,25-34 Erkek,TikTok,Awareness,80502,42709,1430,2104.81,6,2152.25
2026-06-11,Yaz Kampanyası - Awareness,35-44 Genel,TikTok,Awareness,85953,46175,1367,1777.75,8,2449.91
2026-06-12,Yaz Kampanyası - Awareness,18-24 Kadın,Meta,Awareness,63468,23491,715,2501.3,7,2709.51
2026-06-12,Yaz Kampanyası - Awareness,25-34 Kadın,Meta,Awareness,61321,23493,937,2296.38,13,4722.57
2026-06-12,Yaz Kampanyası - Awareness,25-34 Erkek,Meta,Awareness,54029,18721,518,2384.26,3,1072.81
2026-06-12,Yaz Kampanyası - Awareness,35-44 Genel,Meta,Awareness,48202,19676,665,2018.58,6,2165.41
2026-06-12,Yaz Kampanyası - Awareness,18-24 Kadın,Google,Awareness,41591,25374,476,910.24,4,1601.29
2026-06-12,Yaz Kampanyası - Awareness,25-34 Kadın,Google,Awareness,34335,27221,309,895.31,5,1729.42
2026-06-12,Yaz Kampanyası - Awareness,25-34 Erkek,Google,Awareness,39183,33422,290,1413.4,1,336.71
2026-06-12,Yaz Kampanyası - Awareness,35-44 Genel,Google,Awareness,32838,22539,296,1024.45,5,1691.21
2026-06-12,Yaz Kampanyası - Awareness,18-24 Kadın,TikTok,Awareness,127160,66689,3533,2393.5,21,7618.62
2026-06-12,Yaz Kampanyası - Awareness,25-34 Kadın,TikTok,Awareness,130548,63319,2917,2863.96,25,8321.47
2026-06-12,Yaz Kampanyası - Awareness,25-34 Erkek,TikTok,Awareness,89831,47132,1310,2158.96,6,2189.24
2026-06-12,Yaz Kampanyası - Awareness,35-44 Genel,TikTok,Awareness,65626,32381,1063,1179.38,7,2470.58
2026-06-13,Yaz Kampanyası - Awareness,18-24 Kadın,Meta,Awareness,63046,22387,775,2413.17,5,1741.85
2026-06-13,Yaz Kampanyası - Awareness,25-34 Kadın,Meta,Awareness,64891,27755,1258,2742.59,10,2814.49
2026-06-13,Yaz Kampanyası - Awareness,25-34 Erkek,Meta,Awareness,53740,21136,518,2700.92,3,1149.5
2026-06-13,Yaz Kampanyası - Awareness,35-44 Genel,Meta,Awareness,49235,21450,547,2233.99,7,2344.32
2026-06-13,Yaz Kampanyası - Awareness,18-24 Kadın,Google,Awareness,35168,26494,338,820.2,3,1054.05
2026-06-13,Yaz Kampanyası - Awareness,25-34 Kadın,Google,Awareness,44168,24983,496,1049.34,9,2666.27
2026-06-13,Yaz Kampanyası - Awareness,25-34 Erkek,Google,Awareness,41169,25469,281,1488.48,2,844.22
2026-06-13,Yaz Kampanyası - Awareness,35-44 Genel,Google,Awareness,40391,28940,387,984.0,4,1455.58
2026-06-13,Yaz Kampanyası - Awareness,18-24 Kadın,TikTok,Awareness,126960,71254,3206,2691.46,24,8844.71
2026-06-13,Yaz Kampanyası - Awareness,25-34 Kadın,TikTok,Awareness,126455,81972,3010,2309.83,29,9569.98
2026-06-13,Yaz Kampanyası - Awareness,25-34 Erkek,TikTok,Awareness,91292,40437,1245,2281.67,5,1763.25
2026-06-13,Yaz Kampanyası - Awareness,35-44 Genel,TikTok,Awareness,98395,49564,2196,2406.7,17,6300.78
2026-06-14,Yaz Kampanyası - Awareness,18-24 Kadın,Meta,Awareness,59272,22999,1041,2569.75,9,3429.21
2026-06-14,Yaz Kampanyası - Awareness,25-34 Kadın,Meta,Awareness,66487,22831,1214,2693.13,17,4206.3
2026-06-14,Yaz Kampanyası - Awareness,25-34 Erkek,Meta,Awareness,56292,34087,409,2965.29,2,618.63
2026-06-14,Yaz Kampanyası - Awareness,35-44 Genel,Meta,Awareness,51955,17574,640,2805.12,6,2185.69
2026-06-14,Yaz Kampanyası - Awareness,18-24 Kadın,Google,Awareness,60005,37018,560,1465.86,6,1813.4
2026-06-14,Yaz Kampanyası - Awareness,25-34 Kadın,Google,Awareness,44476,30026,633,1160.38,10,3462.84
2026-06-14,Yaz Kampanyası - Awareness,25-34 Erkek,Google,Awareness,40383,23773,240,1128.71,2,671.14
2026-06-14,Yaz Kampanyası - Awareness,35-44 Genel,Google,Awareness,34456,20619,350,796.66,4,1502.98
2026-06-14,Yaz Kampanyası - Awareness,18-24 Kadın,TikTok,Awareness,124372,61567,2159,2441.3,12,3997.23
2026-06-14,Yaz Kampanyası - Awareness,25-34 Kadın,TikTok,Awareness,120027,55031,3808,2716.16,35,12682.08
2026-06-14,Yaz Kampanyası - Awareness,25-34 Erkek,TikTok,Awareness,101721,52896,1452,2642.41,6,1946.85
2026-06-14,Yaz Kampanyası - Awareness,35-44 Genel,TikTok,Awareness,93434,46244,1776,2028.87,14,4716.33
